Id,Title,Type,res
595,Kids United 2 - Ep 14,Video (Full Episode),LuV_EL_P56T0Ex18
596,Video Discussion,Activity,LuV_EL_P56T0Ex18_0_VD
597,Kids United 3 - Ep 6,Video (Full Episode),LuV_EL_P56T0Ex19
598,Character Analysis,Activity,LuV_EL_P56T0Ex19_0_CDA
599,The Arena 2 - Ep 5,Video (Full Episode),LuV_EL_P56T0Ex20
600,Open Discussion,Activity,LuV_EL_P56T0Ex20_0_OD
601,Kids United 3 - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex21
602,Writing Exercise   ,Activity,LuV_EL_P56T0Ex21_0_WE
603,Asians of the Year 3 - Ep 5,Video (Full Episode),LuV_EL_P56T0Ex22
604,Reading Exercise,Activity,LuV_EL_P56T0Ex22_0_RC
605,Champs - Ep 3,Video (Full Episode),LuV_EL_P56T0Ex23
606,Video Discussion,Activity,LuV_EL_P56T0Ex23_0_VD
607,Training Day - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex24
608,Writing Exercise   ,Activity,LuV_EL_P56T0Ex24_0_WE
609,Training Day - Ep 1,Video (Full Episode),LuV_EL_P56T0Ex25
610,Listening Comprehension,Activity,LuV_EL_P56T0Ex25_0_LC
611,Moon Face - Ep 1,Video (Full Episode),LuV_EL_P56T0Ex26
612,Listening Exercise,Activity,LuV_EL_P56T0Ex26_0_LE
613,Moon Face - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex27
614,Extracting the main points,Activity,LuV_EL_P56T0Ex27_0_WE
615,Moon Face - Ep 3,Video (Full Episode),LuV_EL_P56T0Ex28
616,Speaking Activity   ,Activity,LuV_EL_P56T0Ex28_0_SA
617,My Sassy Neighbour 3 - Ep 3,Video (Full Episode),LuV_EL_P56T0Ex29
618,Listening Comprehension,Activity,LuV_EL_P56T0Ex29_0_LC
619,My Sassy Neighbour 3 - Ep 2,Video (Full Episode),LuV_EL_P56T0Ex30
620,Language Use ,Activity,LuV_EL_P56T0Ex30_0_LU
621,Champs - Ep 15,Video (Full Episode),LuV_EL_P56T0Ex31
622,Reading Comprehension,Activity,LuV_EL_P56T0Ex31_0_RC
623,Essence of Festival - Ep 2,Video (Full Episode),LuV_EL_P56T0Ex32
624,Listening Comprehension,Activity,LuV_EL_P56T0Ex32_0_LC
625,Essence of Festival - Ep 1,Video (Full Episode),LuV_EL_P56T0Ex33
626,Open-ended Comprehension,Activity,LuV_EL_P56T0Ex33_0_OE
627,Police and Thief 5 - Ep 8,Video (Full Episode),LuV_EL_P56T0Ex34
628,Language Use,Activity,LuV_EL_P56T0Ex34_0_LU
629,Zoo TV - Ep 13,Video (Full Episode),LuV_EL_P56T0Ex35
630,Open Discussion,Activity,LuV_EL_P56T0Ex35_0_OD
631,Zoo TV - Ep 5,Video (Full Episode),LuV_EL_P56T0Ex36
632,Writing Exercise  ,Activity,LuV_EL_P56T0Ex36_0_WE
633,Zoo TV - Ep 11,Video (Full Episode),LuV_EL_P56T0Ex37
634,Writing Exercise   ,Activity,LuV_EL_P56T0Ex37_0_WE
635,The Big Q 2 - Ep 10,Video (Full Episode),LuV_EL_P56T0Ex38
636,Extracting the main points,Activity,LuV_EL_P56T0Ex38_0_EM
637,The Big Q 2 - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex39
638,Reading Comprehension,Activity,LuV_EL_P56T0Ex39_0_RC
639,The Big Q 2 - Ep 2,Video (Full Episode),LuV_EL_P56T0Ex40
640,Writing,Activity,LuV_EL_P56T0Ex40_0_WE
