Id,Title,Type,res
558,Ka Ching - Ep 1,Video (Full Episode),LuV_EL_P56T0Ex01
559,Open Discussion,Activity,LuV_EL_P56T0Ex01_0_OD
560,Ka Ching - Ep 7,Video (Full Episode),LuV_EL_P56T0Ex02
561,Open Discussion,Activity,LuV_EL_P56T0Ex02_0_OD
562,Saving Gaia 2 - Ep 2,Video (Full Episode),LuV_EL_P56T0Ex03
563,Language Use,Activity,LuV_EL_P56T0Ex03_0_LU
564,Writing Exercise   ,Activity,LuV_EL_P56T0Ex03_1_WE
565,Phua Chu Kang Pte Ltd  Season 8 - Ep 8,Video (Full Episode),LuV_EL_P56T0Ex04
566,Speech and Drama,Activity,LuV_EL_P56T0Ex04_0_SD
567,Open Discussion,Activity,LuV_EL_P56T0Ex04_1_OD
568,Homeward Journeys - Ep 1,Video (Full Episode),LuV_EL_P56T0Ex05
569,Listening Comprehension,Activity,LuV_EL_P56T0Ex05_0_LC
570,Open-ended Comprehension,Activity,LuV_EL_P56T0Ex05_1_OE
571,Global Citizen - Singapore - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex06
572,Writing Exercise,Activity,LuV_EL_P56T0Ex06_0_WE
573,Saving Gaia 2 - Ep 3,Video (Full Episode),LuV_EL_P56T0Ex07
574,Writing Exercise,Activity,LuV_EL_P56T0Ex07_0_WE
575,Saving Gaia 2 - Ep 5,Video (Full Episode),LuV_EL_P56T0Ex08
576,Open Discussion,Activity,LuV_EL_P56T0Ex08_0_OD
577,Asia’s Wonder Kids 3 - Ep 5,Video (Full Episode),LuV_EL_P56T0Ex09
578,Writing Exercise    ,Activity,LuV_EL_P56T0Ex09_0_WE
579,Champs - Ep 11,Video (Full Episode),LuV_EL_P56T0Ex10
580,Speaking Activity  ,Activity,LuV_EL_P56T0Ex10_0_SA
581,Asia’s Wonder Kids 3 - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex11
582,Reading Exercise,Activity,LuV_EL_P56T0Ex11_0_RE
583,Dish with Vivien - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex12
584,Writing Exercise,Activity,LuV_EL_P56T0Ex12_0_WE
585,Dish with Vivien - Ep 5,Video (Full Episode),LuV_EL_P56T0Ex13
586,Language Use    ,Activity,LuV_EL_P56T0Ex13_0_LU
587,Dish with Vivien - Ep 3,Video (Full Episode),LuV_EL_P56T0Ex14
588,Listening Comprehension,Activity,LuV_EL_P56T0Ex14_0_LC
589,Ka Ching - Ep 8,Video (Full Episode),LuV_EL_P56T0Ex15
590,Writing Exercise   ,Activity,LuV_EL_P56T0Ex15_0_WE
591,Phua Chu Kang Pte Ltd  Season 8 - Ep 4,Video (Full Episode),LuV_EL_P56T0Ex16
592,Listening Exercise,Activity,LuV_EL_P56T0Ex16_0_LE
593,Fusean - Ep 8,Video (Full Episode),LuV_EL_P56T0Ex17
594,Speaking Activity  ,Activity,LuV_EL_P56T0Ex17_0_SA
