Subject,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0001_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0002_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0003_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0004_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0005_MCQ,2
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0006_MCQ,2
PSC,P3,1,A,Living and Non-living Things,Non-living things,PSC_iScience_LB_0_0007_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0008_MCQ,2
PSC,P3,1,A,Diversity,Living things,PSC_iScience_LB_0_0009_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0010_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0011_MCQ,1
PSC,P3,1,A,Systems,Plants,PSC_iScience_LB_0_0012_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0013_MCQ,2
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0014_MCQ,1
PSC,P3,1,A,Diversity,Living things,PSC_iScience_LB_0_0015_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Non-living things,PSC_iScience_LB_0_0016_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0017_MCQ,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0018_OE,1
PSC,P3,1,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0019_OE,1
PSC,P3,1,A,Diversity,Living things,PSC_iScience_LB_0_0020_OE,1
PSC,P3,2,A,Diversity,Living things,PSC_iScience_LB_0_0021_OE,1
PSC,P3,2,A,Diversity,Living things,PSC_iScience_LB_0_0022_OE,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0023_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Non-living things,PSC_iScience_LB_0_0024_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Non-living things,PSC_iScience_LB_0_0025_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0026_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0027_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0028_FIB,1
PSC,P3,2,A,Cycles,Life cycles,PSC_iScience_LB_0_0029_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0030_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0031_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0032_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Non-living things,PSC_iScience_LB_0_0033_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0034_OE,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0035_OE,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0036_MCQ,1
PSC,P3,2,A,Diversity,Materials,PSC_iScience_LB_0_0037_MCQ,1
PSC,P3,2,A,Diversity,Living things,PSC_iScience_LB_0_0038_MCQ,1
PSC,P3,2,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0039_MCQ,1
PSC,P3,2,A,Diversity,Living things,PSC_iScience_LB_0_0040_MCQ,1
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0041_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0042_MCQ,1
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0043_MCQ,2
PSC,P3,3,A,Cycles,Life cycles,PSC_iScience_LB_0_0044_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0045_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0046_MCQ,1
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0047_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0048_MCQ,1
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0049_MCQ,1
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0050_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0051_MCQ,1
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0052_FIB,2
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0053_OE,2
PSC,P3,3,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0054_FIB,2
PSC,P3,3,A,Living and Non-living Things,Living things and non-living things,PSC_iScience_LB_0_0055_FIB,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0056_FIB,1
PSC,P3,3,A,Living and Non-living Things,Living things and non-living things,PSC_iScience_LB_0_0057_MCQ,2
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0058_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0059_MCQ,1
PSC,P3,3,A,Diversity,Living things,PSC_iScience_LB_0_0060_MCQ,2
PSC,P3,4,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0061_MCQ,1
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0062_MCQ,1
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0063_MCQ,1
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0064_MCQ,1
PSC,P3,4,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0065_MCQ,1
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0066_FIB,1
PSC,P3,4,A,Diversity,Materials,PSC_iScience_LB_0_0067_OE,1
PSC,P3,4,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0068_MCQ,1
PSC,P3,4,A,Systems,Plants,PSC_iScience_LB_0_0069_MCQ,1
PSC,P3,4,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0070_MCQ,1
PSC,P3,4,A,Systems,Plants,PSC_iScience_LB_0_0071_OE,1
PSC,P3,4,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0072_MCQ,2
PSC,P3,4,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0073_MCQ,1
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0074_MCQ,2
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0075_MCQ,2
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0076_MCQ,1
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0077_MCQ,2
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0078_MCQ,2
PSC,P3,4,A,Diversity,Living things,PSC_iScience_LB_0_0079_MCQ,1
PSC,P3,4,A,Systems,Plants,PSC_iScience_LB_0_0080_MCQ,2
PSC,P3,5,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0081_MCQ,2
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0082_MCQ,2
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0083_MCQ,2
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0084_MCQ,1
PSC,P3,5,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0085_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0086_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0087_MCQ,2
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0088_MCQ,1
PSC,P3,5,A,Living and Non-living Things,Living things,PSC_iScience_LB_0_0089_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0090_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0091_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0092_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0093_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0094_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0095_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0096_MCQ,1
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0097_MCQ,2
PSC,P3,5,A,Diversity,Living things,PSC_iScience_LB_0_0098_MCQ,1
