Subject,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
PSC,P6,4,A,Cycles,Water,PSC_iScience_UB_0_0079_OE,2
PSC,P6,4,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0080_MCQ,1
PSC,P6,4,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0081_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0082_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0083_MCQ,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0084_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0085_MCQ,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0086_MCQ,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0087_MCQ,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0088_OE,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0089_OE,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0090_OE,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0091_OE,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0092_OE,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0093_OE,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0094_OE,2
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0095_OE,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0096_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0097_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0098_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0099_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0100_MCQ,1
PSC,P6,5,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0101_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0102_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0103_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0104_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0105_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0106_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0107_MCQ,2
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0108_MCQ,1
PSC,P6,6,A,Cycles,Reproduction in Plants,PSC_iScience_UB_0_0109_MCQ,1
